order_id,source_file,Status Pesanan,status_kelompok,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,waktu_pesanan,periode_file,periode_analisis,sumber_periode,alasan_pembatalan_analisis,total_pembayaran_rp,berat_pesanan_gr,jumlah_baris_item,jumlah_item_tercatat,memiliki_baris_identik,retur_tidak_diketahui,jumlah_retur,waktu_pesanan_tidak_tersedia,jumlah_kategori,kategori_dalam_pesanan,diskon_nilai_asli_bervariasi,diskon_nilai_asli,ongkir_pembeli_nilai_asli_bervariasi,ongkir_pembeli_nilai_asli,subsidi_ongkir_nilai_asli_bervariasi,subsidi_ongkir_nilai_asli,estimasi_ongkir_nilai_asli_bervariasi,estimasi_ongkir_nilai_asli,skala_ongkir_diskon_terverifikasi,pembayaran_nol_nonbatal,outlier_total_pembayaran_rp,outlier_jumlah_item_tercatat,outlier_berat_pesanan_gr
ORD_0002721,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SIDOARJO,JAWA TIMUR,2025-08-04 13:40:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),20000,200,1,2,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,5.0,False,5.0,False,False,False,False,False
ORD_0002722,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA MATARAM,NUSA TENGGARA BARAT (NTB),2025-08-04 13:52:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),755600,8000,1,2,False,False,0,False,1,Seal / Baut / Roof,False,0.0,False,26.1,False,60.0,False,86.1,False,False,True,False,True
ORD_0002723,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA SELATAN,DKI JAKARTA,2025-08-04 15:04:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),57000,5000,1,5,False,False,0,False,1,Nampan / Tray,False,0.0,False,5.0,False,10.0,False,15.0,False,False,False,True,True
ORD_0002724,AugustSales2025_public.xlsx,Batal,Batal,Instant (Versi Lama),Online Payment,KAB. TANGERANG,BANTEN,2025-08-04 15:34:00,2025-08,2025-08-01,2025-08,Dibatalkan oleh Pembeli. Alasan: Perlu mengubah pesanan,0,9000,1,50,False,False,0,False,1,Baskom / Mangkok Besar,False,40.0,False,0.0,False,0.0,False,68.0,False,False,False,True,True
ORD_0002725,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KOTA WARINGIN TIMUR,KALIMANTAN TENGAH,2025-08-04 15:59:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),55500,200,1,8,False,False,0,False,1,Aksesoris ID Card,False,0.0,False,13.5,False,25.0,False,38.5,False,False,False,True,False
ORD_0002726,AugustSales2025_public.xlsx,Batal,Batal,Same Day-SPX Sameday,Online Payment,KAB. TANGERANG,BANTEN,2025-08-04 16:00:00,2025-08,2025-08-01,2025-08,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,0,12500,1,50,False,False,0,False,1,Baskom / Mangkok Besar,False,0.0,False,0.0,False,0.0,False,25.0,False,False,False,True,True
ORD_0002727,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. GOWA,SULAWESI SELATAN,2025-08-04 16:27:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),36000,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,17.1,False,20.0,False,37.1,False,False,False,False,False
ORD_0002728,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SIDOARJO,JAWA TIMUR,2025-08-04 16:48:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),36000,400,1,2,False,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,5.0,False,0.0,False,5.0,False,False,False,False,False
ORD_0002729,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MALANG,JAWA TIMUR,2025-08-04 18:10:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),18900,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,5.0,False,5.0,False,False,False,False,False
ORD_0002730,AugustSales2025_public.xlsx,Selesai,Selesai,SPX Hemat,COD (Bayar di Tempat),KAB. LAMPUNG TENGAH,LAMPUNG,2025-08-04 19:14:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),68500,1250,1,5,False,False,0,False,1,Lunch Box / Rantang,False,0.0,False,0.0,False,14.7,False,14.7,False,False,False,True,False
